run,scenario,group,cumulative_utility,mean_utility,mean_quality_true,mean_quality_surface,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
32,baseline,Blind,-22640.0,-113.2,0.34991666666666676,0.3796666666666666,212,0.33,0.5357981220657277,0.32147887323943664,0.0833333333333335,2,1,0.2,999,0.0
33,baseline,TTB-cap,-760.0,-3.8,0.7751666666666668,0.7355833333333334,71,0.7,0.7437283737024221,0.4462370242214532,0.07795588064402893,999,999,0.0,999,0.0
33,baseline,Blind,-24880.0,-124.4,0.33675000000000005,0.4364999999999999,225,0.29,0.5273212226066897,0.3163927335640138,0.0833333333333335,9,0,0.15,999,0.0
34,baseline,TTB-cap,2000.0,10.0,0.780083333333333,0.7732499999999998,59,0.75,0.74373576309795,0.44624145785876995,0.07767833655284691,999,999,0.0,999,0.0
34,baseline,Blind,-23800.0,-119.0,0.3463333333333334,0.38775000000000004,218,0.31,0.5492596810933941,0.32955580865603645,0.0833333333333335,9,17,0.1,999,0.0
35,baseline,TTB-cap,-240.0,-1.2,0.7751666666666667,0.7676666666666665,67,0.71,0.7360948477751756,0.4416569086651054,0.07768664315597963,999,999,0.0,999,0.0
35,baseline,Blind,-20900.0,-104.5,0.322666666666667,0.39725,203,0.365,0.5240046838407495,0.31440281030444966,0.0833333333333335,3,14,0.2,999,0.0
36,baseline,TTB-cap,2460.0,12.3,0.8032499999999995,0.7709999999999994,52,0.755,0.7429272517321017,0.44575635103926103,0.07825985066110791,999,999,0.0,999,0.0
36,baseline,Blind,-22540.0,-112.7,0.34191666666666687,0.4030833333333333,197,0.335,0.5420034642032332,0.3252020785219399,0.0833333333333335,22,5,0.0,999,0.0
37,baseline,TTB-cap,540.0,2.7,0.775583333333333,0.7781666666666663,65,0.725,0.7428977272727273,0.44573863636363636,0.07825323406195393,999,999,0.0,999,0.0
37,baseline,Blind,-24880.0,-124.4,0.3308333333333334,0.41224999999999995,224,0.29,0.5271306818181818,0.31627840909090904,0.0833333333333335,20,2,0.0,999,0.0
38,baseline,TTB-cap,3180.0,15.9,0.7985000000000001,0.7644166666666662,53,0.765,0.7435195852534562,0.4461117511520737,0.07823899147779406,999,999,0.0,999,0.0
38,baseline,Blind,-23800.0,-119.0,0.3795833333333332,0.3784166666666669,201,0.31,0.5295218894009217,0.31771313364055304,0.0833333333333335,1,1,0.2,999,0.0
39,baseline,TTB-cap,4000.0,20.0,0.8059166666666667,0.7610833333333331,50,0.78,0.742232868757259,0.4453397212543554,0.07821730883133465,999,999,0.0,999,0.0
39,baseline,Blind,-25660.0,-128.3,0.35225000000000006,0.40741666666666665,220,0.275,0.5237369337979094,0.31424216027874563,0.0833333333333335,1,0,0.15,999,0.0
40,baseline,TTB-cap,-580.0,-2.9,0.7744999999999997,0.7701666666666663,69,0.705,0.7385768335273575,0.4431461001164145,0.0779255477651988,999,999,0.0,999,0.0
40,baseline,Blind,-21940.0,-109.7,0.3347500000000001,0.40725,199,0.345,0.5115686845168801,0.30694121071012803,0.0833333333333335,0,19,0.25,999,0.0
41,baseline,TTB-cap,3460.0,17.3,0.7991666666666666,0.7840833333333334,53,0.775,0.7393757327080892,0.4436254396248535,0.07801077635341544,999,999,0.0,999,0.0
41,baseline,Blind,-22800.0,-114.0,0.3511666666666669,0.39391666666666686,193,0.33,0.5156066822977725,0.3093640093786635,0.0833333333333335,5,22,0.1,999,0.0
42,baseline,TTB-cap,1180.0,5.9,0.8010833333333331,0.7829166666666663,58,0.735,0.7416044776119404,0.4449626865671642,0.07771712955135174,999,999,0.0,999,0.0
42,baseline,Blind,-24840.0,-124.2,0.36675000000000013,0.4309999999999999,208,0.29,0.5448478760045925,0.32690872560275547,0.0833333333333335,0,13,0.1,999,0.0
43,baseline,TTB-cap,1200.0,6.0,0.7935833333333332,0.7689166666666667,65,0.73,0.7412790697674418,0.4447674418604651,0.077955804636362,999,999,0.0,999,0.0
43,baseline,Blind,-22800.0,-114.0,0.35008333333333347,0.3944166666666667,189,0.33,0.5074127906976744,0.30444767441860465,0.0833333333333335,11,8,0.1,999,0.0
44,baseline,TTB-cap,-1360.0,-6.8,0.7918333333333334,0.775083333333333,68,0.69,0.7384792626728112,0.4430875576036867,0.07791489103916681,999,999,0.0,999,0.0
44,baseline,Blind,-25140.0,-125.7,0.32116666666666677,0.3778333333333334,219,0.285,0.5456509216589862,0.3273905529953917,0.0833333333333335,0,19,0.15,999,0.0
45,baseline,TTB-cap,2240.0,11.2,0.8235833333333333,0.7434166666666663,59,0.74,0.7462892898719442,0.4477735739231665,0.07829402622551605,999,999,0.0,999,0.0
45,baseline,Blind,-23880.0,-119.4,0.32683333333333364,0.41800000000000004,208,0.31,0.5342694994179278,0.32056169965075665,0.0833333333333335,6,5,0.1,999,0.0
46,baseline,TTB-cap,4900.0,24.5,0.8076666666666665,0.7699166666666667,44,0.795,0.7465034965034965,0.44790209790209784,0.07792026338044661,999,999,0.0,999,0.0
46,baseline,Blind,-22760.0,-113.8,0.3552500000000002,0.4165833333333335,200,0.33,0.5364219114219113,0.32185314685314675,0.0833333333333335,6,5,0.15,999,0.0
47,baseline,TTB-cap,2780.0,13.9,0.8092499999999998,0.7844999999999996,59,0.755,0.7393256772673733,0.443595406360424,0.07824598601363136,999,999,0.0,999,0.0
