run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
15,baseline,65,TTB-cap,4,60.0,-760.0,0.75,0.5,0,0.5129555496874381,0.07716356686092993,0.6937931034482758,0.4162758620689655,0,0
15,baseline,66,TTB-cap,5,-200.0,-960.0,0.6,0.8,2,0.5128274310610269,0.07716101981329095,0.6951412429378532,0.4170847457627119,0,0
15,baseline,67,TTB-cap,4,60.0,-900.0,0.75,0.75,0,0.5126975355857529,0.07716027884375527,0.6956521739130435,0.41739130434782606,0,0
15,baseline,68,TTB-cap,4,60.0,-840.0,0.75,0.75,0,0.5125588655632282,0.0771596518302049,0.6961496149614961,0.41768976897689764,0,0
15,baseline,69,TTB-cap,5,60.0,-780.0,0.8,0.8,0,0.5124439793470382,0.07715828819986409,0.6974025974025975,0.41844155844155845,0,0
15,baseline,70,TTB-cap,5,100.0,-680.0,1.0,1.0,0,0.5127619505680538,0.07714836065136978,0.6969116080937168,0.41814696485623004,0,0
15,baseline,71,TTB-cap,4,60.0,-620.0,0.75,0.75,0,0.5127148612657861,0.07714373978556716,0.696950578338591,0.4181703470031546,0,0
15,baseline,72,TTB-cap,4,100.0,-520.0,1.0,0.75,0,0.5129240823965915,0.07713947490827966,0.6974039460020769,0.41844236760124615,0,0
15,baseline,73,TTB-cap,4,-200.0,-720.0,0.5,1.0,1,0.512701823730538,0.07713995456584018,0.6978461538461538,0.4187076923076923,0,0
15,baseline,74,TTB-cap,4,60.0,-660.0,0.75,0.5,0,0.5127370556077695,0.07713445457986302,0.6986828774062817,0.41920972644376897,0,0
15,baseline,75,TTB-cap,5,100.0,-560.0,1.0,0.8,0,0.5130837178898511,0.0771254407123213,0.6982035928143713,0.41892215568862273,0,0
15,baseline,76,TTB-cap,5,100.0,-460.0,1.0,0.8,0,0.5132682305805865,0.0771215498724819,0.6993117010816126,0.4195870206489675,0,0
15,baseline,77,TTB-cap,5,60.0,-400.0,0.8,0.8,0,0.5132723688924854,0.07711953279009198,0.7003875968992248,0.42023255813953486,0,0
15,baseline,78,TTB-cap,5,-200.0,-600.0,0.8,0.8,1,0.5132783915437092,0.07711719610067902,0.701432664756447,0.4208595988538682,0,0
15,baseline,79,TTB-cap,4,100.0,-500.0,1.0,0.75,0,0.5134153529255682,0.07711419648562097,0.7017941454202077,0.4210764872521246,0,0
15,baseline,80,TTB-cap,3,60.0,-440.0,0.6666666666666666,1.0,0,0.513434152421163,0.07711001417480061,0.70187265917603,0.421123595505618,0,0
15,baseline,81,TTB-cap,4,60.0,-380.0,0.75,1.0,0,0.5133003946391741,0.07710951065299901,0.7022222222222223,0.4213333333333334,0,0
15,baseline,82,TTB-cap,5,-200.0,-580.0,0.8,0.8,1,0.513240766178729,0.07710881689647336,0.7031963470319635,0.4219178082191781,0,0
15,baseline,83,TTB-cap,3,60.0,-520.0,0.3333333333333333,0.6666666666666666,0,0.5130729685220025,0.0771062638076645,0.7032608695652174,0.4219565217391304,0,0
15,baseline,84,TTB-cap,5,-200.0,-720.0,0.6,0.6,2,0.5128916318360581,0.07710613331582566,0.7042001787310099,0.42252010723860595,0,0
15,baseline,85,TTB-cap,5,-200.0,-920.0,0.8,1.0,1,0.5129009005090539,0.07710395331663762,0.7051146384479718,0.4230687830687831,0,0
15,baseline,86,TTB-cap,3,60.0,-860.0,0.6666666666666666,1.0,0,0.5129676822108562,0.07709944705787483,0.705161854768154,0.42309711286089235,0,0
15,baseline,87,TTB-cap,5,-200.0,-1060.0,0.4,0.8,1,0.5125748790772341,0.07710157776493737,0.7060449050086357,0.4236269430051814,0,0
15,baseline,88,TTB-cap,3,100.0,-960.0,1.0,0.3333333333333333,0,0.5126730547481355,0.07709805468043458,0.7060839760068551,0.42365038560411306,0,0
15,baseline,89,TTB-cap,4,-200.0,-1160.0,0.25,1.0,2,0.5123430899626298,0.0770990740571924,0.7063613231552164,0.4238167938931298,0,0
15,baseline,90,TTB-cap,5,60.0,-1100.0,0.8,0.4,0,0.5123425508632532,0.07709752019141139,0.7072026800670017,0.424321608040201,0,0
15,baseline,91,TTB-cap,3,60.0,-1040.0,0.6666666666666666,1.0,0,0.5123208851284384,0.077094790104509,0.7072319201995012,0.4243391521197007,0,0
15,baseline,92,TTB-cap,3,60.0,-980.0,0.6666666666666666,1.0,0,0.5121204237655098,0.07709614946539757,0.7072607260726074,0.4243564356435644,0,0
15,baseline,93,TTB-cap,5,100.0,-880.0,1.0,0.8,0,0.5123391797836173,0.07709301796284802,0.7080684596577018,0.4248410757946211,0,0
15,baseline,94,TTB-cap,3,100.0,-780.0,1.0,0.6666666666666666,0,0.5124963674167897,0.0770887665483465,0.7074433656957928,0.4244660194174757,0,0
15,baseline,95,TTB-cap,3,60.0,-720.0,0.6666666666666666,0.3333333333333333,0,0.5122838940435295,0.07709014554804182,0.7074698795180723,0.42448192771084337,0,0
15,baseline,96,TTB-cap,4,-200.0,-920.0,0.5,0.5,1,0.5120867980490243,0.07709048081616207,0.7077167859984088,0.42463007159904526,0,0
15,baseline,97,TTB-cap,5,100.0,-820.0,1.0,0.8,0,0.5122773717268961,0.07708771157449386,0.7084905660377359,0.4250943396226415,0,0
15,baseline,98,TTB-cap,5,-200.0,-1020.0,0.8,1.0,1,0.5124120492381861,0.07708298039128168,0.708003108003108,0.42480186480186477,0,0
15,baseline,99,TTB-cap,3,60.0,-960.0,0.6666666666666666,1.0,0,0.5123884833309073,0.0770807881267365,0.7080246913580248,0.42481481481481487,0,0
15,baseline,100,TTB-cap,5,100.0,-860.0,1.0,1.0,0,0.5118425650088749,0.07746733860839158,0.7228881278538812,0.43373287671232874,0,0
15,baseline,101,TTB-cap,5,60.0,-800.0,0.8,0.6,0,0.5118775875843551,0.07746574676693299,0.7236173814898419,0.4341704288939051,0,0
15,baseline,102,TTB-cap,5,100.0,-700.0,1.0,0.6,0,0.5120588569528703,0.0774632623223947,0.7243303571428572,0.4345982142857143,0,0
15,baseline,103,TTB-cap,5,60.0,-640.0,0.8,0.8,0,0.5120114963115177,0.07746266278346334,0.7250275938189845,0.4350165562913907,0,0
15,baseline,104,TTB-cap,5,60.0,-580.0,0.8,0.8,0,0.5120996584546222,0.07745899497355871,0.724617903930131,0.4347707423580786,0,0
15,baseline,105,TTB-cap,4,60.0,-520.0,0.5,1.0,0,0.511929783063804,0.07745918014315935,0.7248376623376624,0.43490259740259746,0,0
15,baseline,106,TTB-cap,3,100.0,-420.0,1.0,1.0,0,0.5120586464542846,0.0774563399851669,0.7248655913978495,0.43491935483870964,0,0
15,baseline,107,TTB-cap,5,60.0,-360.0,0.8,0.8,0,0.5120489365720384,0.07745521410447635,0.725531914893617,0.4353191489361702,0,0
15,baseline,108,TTB-cap,5,-200.0,-560.0,0.8,1.0,1,0.5120928088838521,0.07745378952796808,0.7261842105263159,0.4357105263157895,0,0
15,baseline,109,TTB-cap,5,100.0,-460.0,1.0,1.0,0,0.5122910225633055,0.0774513832269424,0.7268229166666667,0.43609375,0,0
15,baseline,110,TTB-cap,3,100.0,-360.0,1.0,1.0,0,0.5124098591474733,0.07744862034106575,0.7265786749482401,0.43594720496894407,0,0
15,baseline,111,TTB-cap,5,100.0,-260.0,1.0,0.8,0,0.5125875191767207,0.07744644544380119,0.727202868852459,0.4363217213114754,0,0
15,baseline,112,TTB-cap,3,100.0,-160.0,1.0,0.6666666666666666,0,0.5126953499067815,0.07744401830627577,0.727214867617108,0.4363289205702648,0,0
15,baseline,113,TTB-cap,4,-200.0,-360.0,0.5,1.0,1,0.5125175227975038,0.07744441544484953,0.7273989898989899,0.4364393939393939,0,0
15,baseline,114,TTB-cap,5,-200.0,-560.0,0.8,0.8,1,0.5125064723516413,0.07744380805180254,0.728,0.43679999999999997,0,0
15,baseline,115,TTB-cap,5,-200.0,-760.0,0.8,1.0,1,0.5125700020714892,0.07744236785338075,0.7285891089108911,0.43715346534653465,0,0
15,baseline,116,TTB-cap,5,60.0,-700.0,0.8,0.8,0,0.5125976725368977,0.07744114143270611,0.7291666666666667,0.43750000000000006,0,0
15,baseline,117,TTB-cap,5,100.0,-600.0,1.0,1.0,0,0.5127940500888952,0.07743748740130503,0.7287621359223302,0.4372572815533981,0,0
15,baseline,118,TTB-cap,5,100.0,-500.0,1.0,0.6,0,0.512960520289765,0.07743412908821341,0.7283653846153846,0.4370192307692307,0,0
15,baseline,119,TTB-cap,5,60.0,-440.0,0.6,0.8,0,0.5127766147412338,0.077434506373418,0.7289285714285714,0.43735714285714283,0,0
15,baseline,120,TTB-cap,5,60.0,-380.0,0.8,0.8,0,0.5126810394382411,0.07743468302475014,0.7285377358490566,0.4371226415094339,0,0
15,baseline,121,TTB-cap,5,-200.0,-580.0,0.8,0.8,1,0.5126831894821322,0.07743406361788206,0.7290887850467289,0.4374532710280373,0,0
15,baseline,122,TTB-cap,5,100.0,-480.0,1.0,1.0,0,0.5128689809272242,0.07743076099428002,0.7287037037037036,0.4372222222222222,0,0
15,baseline,123,TTB-cap,4,60.0,-420.0,0.75,1.0,0,0.5128120912295385,0.07743055151281673,0.728860294117647,0.4373161764705882,0,0
15,baseline,124,TTB-cap,4,100.0,-320.0,1.0,1.0,0,0.5129213905723816,0.07742858498635491,0.7292427007299269,0.43754562043795614,0,0
15,baseline,125,TTB-cap,5,-200.0,-520.0,0.8,0.8,1,0.5128807735860826,0.07742733865534043,0.728865280289331,0.43731916817359856,0,0
15,baseline,126,TTB-cap,3,-200.0,-720.0,0.6666666666666666,0.3333333333333333,1,0.5128729426742449,0.07742600821309162,0.7286420863309353,0.43718525179856116,0,0
15,baseline,127,TTB-cap,5,-200.0,-920.0,0.6,0.8,2,0.5128176516504261,0.07742547963357059,0.7291666666666667,0.43750000000000006,0,0
15,baseline,128,TTB-cap,4,60.0,-860.0,0.5,0.75,0,0.5126671969123626,0.07742578541490684,0.7293141592920354,0.4375884955752212,0,0
15,baseline,129,TTB-cap,4,60.0,-800.0,0.75,1.0,0,0.5126599864770396,0.07742504824611254,0.7294595782073814,0.43767574692442884,0,0
15,baseline,130,TTB-cap,4,-200.0,-1000.0,0.75,1.0,1,0.5126645142280576,0.07742428657005354,0.7296029668411868,0.43776178010471206,0,0
15,baseline,131,TTB-cap,5,100.0,-900.0,1.0,0.8,0,0.5128055315452679,0.07742274159768728,0.7301038062283738,0.43806228373702427,0,0
15,baseline,132,TTB-cap,5,60.0,-840.0,0.6,0.8,0,0.5126347399220379,0.07742311879496147,0.7305960548885078,0.43835763293310465,0,0
15,baseline,133,TTB-cap,4,60.0,-780.0,0.75,0.5,0,0.5125808787779194,0.07742290439741464,0.730728279386712,0.4384369676320272,0,0
15,baseline,134,TTB-cap,5,60.0,-720.0,0.8,1.0,0,0.5126227284646758,0.07742191041302401,0.7312077702702702,0.4387246621621621,0,0
15,baseline,135,TTB-cap,5,100.0,-620.0,1.0,1.0,0,0.5127918055381375,0.07742027161504084,0.731679229480737,0.4390075376884422,0,0
15,baseline,136,TTB-cap,3,60.0,-560.0,0.3333333333333333,0.3333333333333333,0,0.5125141239748774,0.07742190952893871,0.7316666666666667,0.439,0,0
15,baseline,137,TTB-cap,4,100.0,-460.0,1.0,1.0,0,0.512663187810193,0.07741955921787826,0.7315811258278146,0.43894867549668876,0,0
15,baseline,138,TTB-cap,5,100.0,-360.0,1.0,0.8,0,0.5127976094655559,0.07741815518192627,0.7320402298850575,0.4392241379310345,0,0
15,baseline,139,TTB-cap,5,100.0,-260.0,1.0,0.8,0,0.5129282195961749,0.07741582197624493,0.7316775244299674,0.4390065146579804,0,0
15,baseline,140,TTB-cap,4,60.0,-200.0,0.75,1.0,0,0.5128505183752863,0.07741614772079955,0.731593851132686,0.4389563106796116,0,0
15,baseline,141,TTB-cap,3,100.0,-100.0,1.0,0.6666666666666666,0,0.5129282325662459,0.07741472748080012,0.7315821256038648,0.43894927536231887,0,0
15,baseline,142,TTB-cap,4,100.0,0.0,1.0,1.0,0,0.513041570639621,0.07741351323265598,0.7317,0.43902,0,0
15,baseline,143,TTB-cap,5,100.0,100.0,1.0,1.0,0,0.5132050507706131,0.0774119654612546,0.7321428571428572,0.43928571428571433,0,0
15,baseline,144,TTB-cap,5,-200.0,-100.0,0.8,0.8,1,0.5131779774722982,0.07741181686824558,0.7325787401574804,0.4395472440944882,0,0
15,baseline,145,TTB-cap,5,100.0,0.0,1.0,0.8,0,0.5132782034405026,0.07741071010292534,0.7330078124999999,0.43980468749999996,0,0
15,baseline,146,TTB-cap,5,-200.0,-200.0,0.8,1.0,1,0.51327760078652,0.0774101763380852,0.7334302325581394,0.44005813953488365,0,0
15,baseline,147,TTB-cap,5,-200.0,-400.0,0.8,1.0,1,0.5132886158389262,0.07740975954107783,0.7338461538461538,0.4403076923076923,0,0
15,baseline,148,TTB-cap,3,100.0,-300.0,1.0,1.0,0,0.5133972402337026,0.07740810986162082,0.7338246554364471,0.44029479326186827,0,0
15,baseline,149,TTB-cap,5,60.0,-240.0,0.8,1.0,0,0.513343464628653,0.07740801621340403,0.7342325227963526,0.4405395136778116,0,0
15,baseline,150,TTB-cap,5,100.0,-140.0,1.0,0.8,0,0.5134701339764469,0.07740679189675763,0.734634238310709,0.4407805429864254,0,0
15,baseline,151,TTB-cap,5,-200.0,-340.0,0.4,1.0,1,0.5132533445150791,0.07740754218825469,0.7350299401197604,0.4410179640718562,0,0
15,baseline,152,TTB-cap,5,-200.0,-540.0,0.6,0.8,1,0.5131265959226398,0.07740779397465804,0.7354197622585439,0.44125185735512634,0,0
15,baseline,153,TTB-cap,5,100.0,-440.0,1.0,1.0,0,0.5132793268131103,0.07740643100182683,0.7358038348082596,0.44148230088495577,0,0
15,baseline,154,TTB-cap,5,60.0,-380.0,0.8,1.0,0,0.5132920836976066,0.0774058480159093,0.7361822840409955,0.4417093704245973,0,0
15,baseline,155,TTB-cap,5,-200.0,-580.0,0.8,1.0,1,0.5133298489079026,0.07740513549689877,0.7365552325581395,0.44193313953488367,0,0
15,baseline,156,TTB-cap,4,60.0,-520.0,0.75,0.5,0,0.5133544646770793,0.07740382229780561,0.7364523121387283,0.441871387283237,0,0
15,baseline,157,TTB-cap,5,60.0,-460.0,0.8,0.8,0,0.5133030267778969,0.07740372494775283,0.7368185078909613,0.44209110473457675,0,0
15,baseline,158,TTB-cap,5,100.0,-360.0,1.0,0.8,0,0.5134229468491872,0.07740261059952692,0.7371794871794872,0.44230769230769235,0,0
15,baseline,159,TTB-cap,4,100.0,-260.0,1.0,1.0,0,0.5135168775549666,0.07740118384192382,0.7374291784702549,0.4424575070821529,0,0
15,baseline,160,TTB-cap,4,60.0,-200.0,0.5,1.0,0,0.5133858865167771,0.07740147806687174,0.7375,0.4425,0,0
