run,group,cumulative_utility,mean_utility,mean_quality,fatal_errors,task_success_rate,final_trust_gini,final_collapse_index,mean_trust_var,a9_first_delay,a10_first_delay,a9_first20_rate,a9_var_convergence,a8_trust_quality_corr
44,Blind,-23580.0,-117.9,0.38616666666666666,185,0.315,0.5808738425925926,0.3485243055555555,0.0833333333333335,1,0,0.05,999,0.0
44,MOO,1280.0,6.4,0.7919999999999997,55,0.74,0.7403679026651218,0.44422074159907304,0.0753699609940658,999,999,0.0,999,0.0
45,TRUE,1760.0,8.8,0.7569166666666663,56,0.75,0.6353054567022538,0.38118327402135227,0.06628835417902139,0,0,0.25,999,0.8815447893211916
45,Blind,-16740.0,-83.7,0.3627500000000002,147,0.445,0.6146327014218009,0.3687796208530805,0.0833333333333335,8,1,0.1,999,0.0
45,MOO,580.0,2.9,0.6797499999999995,51,0.755,0.7371757075471699,0.4473054245283019,0.07506756692730815,999,999,0.0,999,-0.004846470408375527
46,TRUE,1800.0,9.0,0.7702499999999994,58,0.75,0.6671783625730994,0.4053070175438596,0.06736050649466153,1,0,0.25,2,0.0
46,Blind,-20900.0,-104.5,0.38683333333333336,174,0.365,0.6003965922444183,0.360237955346651,0.0833333333333335,2,19,0.15,999,0.0
46,MOO,1200.0,6.0,0.7684166666666666,56,0.74,0.7921783625730994,0.4753070175438596,0.07468690155896444,999,999,0.0,999,0.0
47,TRUE,660.0,3.3,0.7839166666666667,60,0.725,0.6756968145620024,0.42041808873720143,0.0688535051110721,0,12,0.3,1,0.9635716549336839
47,Blind,-21860.0,-109.3,0.4095833333333336,184,0.345,0.6034977064220184,0.362098623853211,0.0833333333333335,17,5,0.05,999,0.0
47,MOO,-5320.0,-26.6,0.6298333333333332,97,0.64,0.7004259694477086,0.43025558166862515,0.07480125254900971,999,999,0.0,999,0.00879155887196814
48,TRUE,4180.0,20.9,0.7977499999999997,46,0.785,0.6630882352941176,0.4228529411764706,0.06851081513695285,0,2,0.25,1,0.9129989557669366
48,Blind,-24280.0,-121.4,0.39983333333333343,192,0.3,0.6070402298850575,0.3642241379310345,0.0833333333333335,0,9,0.2,999,0.0
48,MOO,3280.0,16.4,0.7719166666666666,49,0.78,0.7888356562137049,0.4733013937282229,0.07396281649296493,999,999,0.0,999,0.0
49,TRUE,620.0,3.1,0.7662499999999999,58,0.735,0.6638986013986015,0.4233391608391609,0.06928550497013648,0,0,0.25,2,0.0
49,Blind,-24400.0,-122.0,0.3661666666666668,194,0.3,0.621084686774942,0.3726508120649652,0.0833333333333335,5,1,0.15,999,0.0
49,MOO,-26240.0,-131.2,0.36016666666666675,207,0.26,0.8367214532871972,0.5070328719723183,0.06916048314423247,999,999,0.0,999,0.05401491587539081
