run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,baseline,17,TRUE,3,60.0,180.0,0.3333333333333333,0.6666666666666666,0,0.5113042136929374,0.07516750844194363,0.5,0.3057142857142857,0,0
1,baseline,18,TRUE,5,60.0,240.0,0.8,0.6,0,0.5112950634884137,0.07498245830363708,0.5077639751552796,0.31037267080745345,0,0
1,baseline,19,TRUE,4,-200.0,40.0,0.5,0.5,1,0.5094185432003908,0.0748546114060068,0.5089285714285714,0.31107142857142855,0,0
1,baseline,20,TRUE,5,60.0,100.0,0.8,0.4,0,0.5098242231974197,0.07436980569523749,0.49858557284299865,0.3048656294200849,0,0
1,baseline,21,TRUE,5,-200.0,-100.0,0.4,1.0,1,0.508326226402856,0.07427558388461439,0.5053908355795149,0.30323450134770896,0,0
1,baseline,22,TRUE,5,100.0,0.0,1.0,0.8,0,0.5097856293712809,0.07411441201643218,0.5090090090090091,0.30540540540540545,0,0
1,baseline,23,TRUE,5,-200.0,-200.0,0.6,0.6,1,0.5083510203376879,0.07403329451229228,0.5135467980295567,0.308128078817734,0,0
1,baseline,24,TRUE,4,-200.0,-400.0,0.5,1.0,1,0.5072019170203778,0.07396005425777598,0.5154761904761904,0.3092857142857142,0,0
1,baseline,25,TRUE,3,60.0,-340.0,0.6666666666666666,1.0,0,0.5069770118694276,0.07385701203816446,0.5127758420441348,0.3133797909407666,0,0
1,baseline,26,TRUE,3,60.0,-280.0,0.3333333333333333,0.6666666666666666,0,0.504639310101236,0.07350064141299206,0.5079365079365079,0.31047619047619046,0,0
1,baseline,27,TRUE,5,60.0,-220.0,0.8,0.8,0,0.504362604700461,0.07340189792904278,0.5119956379498365,0.3129116684841876,0,0
1,baseline,28,TRUE,5,-200.0,-420.0,0.8,1.0,1,0.5047698908585039,0.07333894381604729,0.5210084033613445,0.3183193277310924,0,0
1,baseline,29,TRUE,5,100.0,-320.0,1.0,0.4,0,0.5053935727211528,0.07328144008317804,0.5293819655521783,0.3233434650455927,0,0
1,baseline,30,TRUE,4,60.0,-260.0,0.75,0.75,0,0.5052447601871694,0.0732554610160292,0.5344827586206897,0.32640394088669955,0,0
1,baseline,31,TRUE,5,-200.0,-460.0,0.4,0.6,2,0.5031782538787509,0.07291157118262215,0.5352380952380953,0.3268571428571429,0,0
1,baseline,32,TRUE,4,-200.0,-660.0,0.0,0.75,1,0.49877360930780584,0.07219676925011768,0.5241187384044528,0.3201855287569574,0,0
1,baseline,33,TRUE,5,60.0,-600.0,0.8,1.0,0,0.4977203480515098,0.07183294938210037,0.5233602875112309,0.31973045822102425,0,0
1,baseline,34,TRUE,5,60.0,-540.0,0.8,0.4,0,0.49823954445920415,0.07107900748561863,0.5130662020905923,0.3135540069686411,0,0
1,baseline,35,TRUE,3,60.0,-480.0,0.6666666666666666,0.6666666666666666,0,0.49599633580549374,0.07099337402536393,0.5111206159110351,0.31238665526090675,0,0
1,baseline,36,TRUE,4,60.0,-420.0,0.25,0.5,0,0.4934574935526598,0.07060981553421593,0.5033416875522139,0.30771929824561406,0,0
1,baseline,37,TRUE,4,60.0,-360.0,0.75,0.75,0,0.49224513033228956,0.07024609844585093,0.49918367346938775,0.3052244897959184,0,0
1,baseline,38,TRUE,4,-200.0,-560.0,0.25,0.75,2,0.49087868830329356,0.0699967193888777,0.49760574620909814,0.3042777334397446,0,0
1,baseline,39,TRUE,5,60.0,-500.0,0.6,0.6,0,0.48980013260482064,0.06987328108821879,0.4976708074534162,0.3043167701863354,0,0
1,baseline,40,TRUE,5,60.0,-440.0,0.8,0.6,0,0.48915680237633075,0.06963347435459089,0.49697656840513993,0.30390022675736966,0,0
1,baseline,41,TRUE,5,60.0,-380.0,0.8,0.8,0,0.48834952772521795,0.0693983147372686,0.4955817378497791,0.3030633284241532,0,0
1,baseline,42,TRUE,5,-200.0,-580.0,0.6,0.8,1,0.48752589382335715,0.0692274970919733,0.4949748743718594,0.3026992103374013,0,0
1,baseline,43,TRUE,4,60.0,-520.0,0.75,0.75,0,0.48748752068633794,0.06912806574067182,0.4929627023223082,0.3072061928219564,0,0
1,baseline,44,TRUE,3,60.0,-460.0,0.3333333333333333,0.6666666666666666,0,0.48638752995361684,0.06882151329272489,0.48196948682385576,0.30632454923717056,0,0
1,baseline,45,TRUE,5,-200.0,-660.0,0.6,0.6,1,0.4854396634986313,0.06864364100472652,0.48104265402843605,0.3057684495599187,0,0
1,baseline,46,TRUE,5,-200.0,-860.0,0.6,0.8,1,0.48424226995305264,0.06863206081975842,0.48611111111111116,0.3088095238095238,0,0
1,baseline,47,TRUE,3,100.0,-760.0,1.0,0.3333333333333333,0,0.4849049417555326,0.06858365500083705,0.4882583170254404,0.31009784735812135,0,0
1,baseline,48,TRUE,4,-200.0,-960.0,0.5,1.0,1,0.4845619207956176,0.06858264130384407,0.49231262011531074,0.31253042921204355,0,0
1,baseline,49,TRUE,5,100.0,-860.0,1.0,1.0,0,0.4848730932375285,0.06856794879608352,0.49812030075187974,0.31601503759398497,0,0
1,baseline,50,TRUE,5,-200.0,-1060.0,0.6,1.0,1,0.4876817069713986,0.06918578218674562,0.5225071225071225,0.3295042735042735,1,0
1,baseline,51,TRUE,3,60.0,-1000.0,0.6666666666666666,0.6666666666666666,0,0.48673540112034613,0.06867482485264086,0.5113924050632912,0.32283544303797473,1,0
1,baseline,52,TRUE,3,60.0,-940.0,0.6666666666666666,0.6666666666666666,0,0.48623324076938684,0.06817189436289897,0.49888888888888894,0.31533333333333335,1,0
1,baseline,53,TRUE,4,60.0,-880.0,0.75,0.5,0,0.48659323444589,0.06813272733444117,0.5021857923497268,0.3173114754098361,0,0
1,baseline,54,TRUE,5,-200.0,-1080.0,0.8,0.8,1,0.4866156061371462,0.06812418335693153,0.5076305220883535,0.32057831325301206,0,0
1,baseline,55,TRUE,5,100.0,-980.0,1.0,0.6,0,0.4868975144330749,0.06811246197001257,0.5128608923884515,0.3237165354330709,0,0
1,baseline,56,TRUE,3,100.0,-880.0,1.0,1.0,0,0.48751531950381455,0.06807509265697013,0.5146562905317769,0.32479377431906614,0,0
1,baseline,57,TRUE,5,-200.0,-1080.0,0.8,0.4,1,0.4876501217945553,0.06804508129850989,0.5175572519083969,0.3265343511450381,0,0
1,baseline,58,TRUE,5,100.0,-980.0,1.0,0.8,0,0.4879467190599948,0.06803472098145237,0.5223470661672909,0.3294082397003745,0,0
1,baseline,59,TRUE,5,-200.0,-1180.0,0.8,0.6,1,0.4879287229173996,0.06802892430530692,0.5269607843137254,0.33217647058823524,0,0
1,baseline,60,TRUE,5,-200.0,-1380.0,0.6,1.0,1,0.48768351793403736,0.06802663535705498,0.5314079422382672,0.3348447653429603,0,0
1,baseline,61,TRUE,4,100.0,-1280.0,1.0,1.0,0,0.48804008440174534,0.06800077421916477,0.534282325029656,0.3365693950177936,0,0
1,baseline,62,TRUE,5,60.0,-1220.0,0.8,0.6,0,0.48816379520318537,0.06797966805534363,0.5365967365967366,0.33795804195804197,0,0
1,baseline,63,TRUE,4,100.0,-1120.0,1.0,0.75,0,0.4884556391808664,0.06795993419897475,0.5393103448275862,0.3395862068965517,0,0
1,baseline,64,TRUE,4,100.0,-1020.0,1.0,1.0,0,0.48881069238192243,0.06794031132880467,0.5419501133786848,0.3411700680272109,0,0
1,baseline,65,TRUE,5,100.0,-920.0,1.0,1.0,0,0.4890675357939031,0.06793229286430646,0.545819397993311,0.3434916387959866,0,0
1,baseline,66,TRUE,5,-200.0,-1120.0,0.6,1.0,1,0.4887828934880731,0.0679329250786538,0.5495614035087719,0.3457368421052632,0,0
1,baseline,67,TRUE,4,100.0,-1020.0,1.0,0.75,0,0.4890312843250796,0.06791728071629118,0.551948051948052,0.3471688311688312,0,0
1,baseline,68,TRUE,3,100.0,-920.0,1.0,1.0,0,0.48928144472528506,0.06790289827834947,0.5530546623794212,0.3478327974276528,0,0
1,baseline,69,TRUE,3,100.0,-820.0,1.0,0.3333333333333333,0,0.4893830299534525,0.06789326625959799,0.5541401273885351,0.34848407643312107,0,0
1,baseline,70,TRUE,3,100.0,-720.0,1.0,1.0,0,0.4896066790735698,0.06788120429802233,0.5552050473186121,0.34912302839116727,0,0
1,baseline,71,TRUE,4,100.0,-620.0,1.0,0.75,0,0.4897331483864541,0.06787584412398531,0.5574247144340603,0.35045482866043615,0,0
1,baseline,72,TRUE,5,-200.0,-820.0,0.8,0.8,1,0.48976998695198526,0.06787090626564943,0.5607361963190185,0.3524417177914111,0,0
1,baseline,73,TRUE,5,-200.0,-1020.0,0.8,0.8,1,0.4897697194541618,0.06786701747655793,0.5639476334340383,0.354368580060423,0,0
1,baseline,74,TRUE,5,-200.0,-1220.0,0.6,0.8,1,0.48949280144548124,0.06786803322066069,0.567063492063492,0.35623809523809524,0,0
1,baseline,75,TRUE,4,100.0,-1120.0,1.0,0.75,0,0.4896037773096165,0.06786381720593634,0.5690196078431373,0.3574117647058824,0,0
1,baseline,76,TRUE,5,-200.0,-1320.0,0.6,0.8,1,0.48936530805029366,0.06786388065613812,0.5719806763285025,0.3591884057971015,0,0
1,baseline,77,TRUE,4,100.0,-1220.0,1.0,0.5,0,0.4895566425244451,0.06785862455987728,0.5738299904489017,0.360297994269341,0,0
1,baseline,78,TRUE,5,-200.0,-1420.0,0.6,0.8,2,0.4894038707308295,0.0678567571140971,0.576647834274953,0.36198870056497184,0,0
1,baseline,79,TRUE,3,60.0,-1360.0,0.6666666666666666,1.0,0,0.4892425806929832,0.06785234071965676,0.5774042950513538,0.3624425770308123,0,0
1,baseline,80,TRUE,3,100.0,-1260.0,1.0,1.0,0,0.48943023920893675,0.06784380579995986,0.5785185185185184,0.36311111111111105,0,0
1,baseline,1,Blind,3,60.0,60.0,0.0,0.3333333333333333,0,0.5,0.08333333333333327,0.1386554621848739,0.08319327731092434,0,0
1,baseline,2,Blind,5,-200.0,-140.0,0.2,0.2,2,0.5,0.08333333333333327,0.2402597402597404,0.14415584415584423,0,0
1,baseline,3,Blind,5,60.0,-80.0,0.6,0.4,0,0.5,0.08333333333333327,0.3201058201058202,0.19206349206349213,0,0
1,baseline,4,Blind,4,60.0,-20.0,0.5,0.5,0,0.5,0.08333333333333327,0.3663594470046083,0.219815668202765,0,0
1,baseline,5,Blind,5,-200.0,-220.0,0.2,0.6,2,0.5,0.08333333333333327,0.43253968253968256,0.25952380952380955,0,0
1,baseline,6,Blind,5,-200.0,-420.0,0.2,0.6,2,0.5,0.08333333333333327,0.4895470383275262,0.29372822299651574,0,0
1,baseline,7,Blind,3,60.0,-360.0,0.3333333333333333,0.6666666666666666,0,0.5,0.08333333333333327,0.5097402597402598,0.30584415584415586,0,0
1,baseline,8,Blind,3,60.0,-300.0,0.3333333333333333,0.0,0,0.5,0.08333333333333327,0.4908814589665653,0.29452887537993916,0,0
1,baseline,9,Blind,4,-200.0,-500.0,0.25,0.0,1,0.5,0.08333333333333327,0.5,0.3,0,0
1,baseline,10,Blind,5,60.0,-440.0,0.6,0.4,0,0.5,0.08333333333333327,0.48469387755102034,0.2908163265306122,0,0
1,baseline,11,Blind,5,-200.0,-640.0,0.4,0.4,2,0.5,0.08333333333333327,0.4742388758782201,0.28454332552693207,0,0
1,baseline,12,Blind,5,-200.0,-840.0,0.2,0.4,2,0.5,0.08333333333333327,0.45238095238095233,0.2714285714285714,0,0
1,baseline,13,Blind,4,-200.0,-1040.0,0.0,0.0,2,0.5,0.08333333333333327,0.463265306122449,0.2779591836734694,0,0
1,baseline,14,Blind,5,-200.0,-1240.0,0.2,0.2,2,0.5,0.08333333333333327,0.4866666666666668,0.2920000000000001,0,0
1,baseline,15,Blind,4,60.0,-1180.0,0.5,0.75,0,0.5,0.08333333333333327,0.4981916817359855,0.2989150090415913,0,0
1,baseline,16,Blind,5,-200.0,-1380.0,0.8,0.6,1,0.5,0.08333333333333327,0.5204081632653061,0.3122448979591837,0,0
1,baseline,17,Blind,5,-200.0,-1580.0,0.2,0.6,2,0.5,0.08333333333333327,0.5385232744783306,0.3231139646869983,0,0
1,baseline,18,Blind,5,-200.0,-1780.0,0.4,0.4,2,0.5,0.08333333333333327,0.5501519756838906,0.3300911854103344,0,0
1,baseline,19,Blind,5,-200.0,-1980.0,0.6,0.8,2,0.5,0.08333333333333327,0.5389610389610391,0.32337662337662343,0,0
1,baseline,20,Blind,5,-200.0,-2180.0,0.4,0.2,1,0.5,0.08333333333333327,0.5370879120879122,0.3222527472527473,0,0
1,baseline,21,Blind,4,60.0,-2120.0,0.25,0.25,0,0.5,0.08333333333333327,0.5357142857142858,0.32142857142857145,0,0
1,baseline,22,Blind,5,-200.0,-2320.0,0.8,0.6,1,0.5,0.08333333333333327,0.5493046776232617,0.32958280657395705,0,0
1,baseline,23,Blind,4,-200.0,-2520.0,0.0,0.25,1,0.5,0.08333333333333327,0.543956043956044,0.3263736263736264,0,0
1,baseline,24,Blind,4,-200.0,-2720.0,0.25,0.25,1,0.5,0.08333333333333327,0.5330578512396695,0.3198347107438017,0,0
1,baseline,25,Blind,5,-200.0,-2920.0,0.6,0.2,1,0.5,0.08333333333333327,0.5487528344671202,0.3292517006802721,0,0
1,baseline,26,Blind,4,-200.0,-3120.0,0.0,0.25,2,0.5,0.08333333333333327,0.5472527472527473,0.3283516483516484,0,0
1,baseline,27,Blind,4,-200.0,-3320.0,0.75,0.5,1,0.5,0.08333333333333327,0.556503198294243,0.3339019189765458,0,0
1,baseline,28,Blind,5,-200.0,-3520.0,0.2,0.4,2,0.5,0.08333333333333327,0.5616649537512848,0.33699897225077086,0,0
1,baseline,29,Blind,5,-200.0,-3720.0,0.4,0.2,1,0.5,0.08333333333333327,0.5634920634920635,0.33809523809523806,0,0
1,baseline,30,Blind,4,60.0,-3660.0,0.5,0.25,0,0.5,0.08333333333333327,0.5540540540540542,0.3324324324324325,0,0
1,baseline,31,Blind,4,60.0,-3600.0,0.5,0.5,0,0.5,0.08333333333333327,0.5535714285714286,0.33214285714285713,0,0
1,baseline,32,Blind,4,-200.0,-3800.0,0.25,0.5,2,0.5,0.08333333333333327,0.5265567765567767,0.315934065934066,0,0
1,baseline,33,Blind,3,60.0,-3740.0,0.3333333333333333,0.0,0,0.5,0.08333333333333327,0.5242587601078168,0.3145552560646901,0,0
1,baseline,34,Blind,5,-200.0,-3940.0,0.6,0.2,1,0.5,0.08333333333333327,0.5322299651567945,0.31933797909407674,0,0
