run,scenario,round,group,modules,utility,cumulative_utility,quality_true,quality_surface,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,utility_trust_misalignment,9,Blind,5,-180.0,-1160.0,0.0,1.0,3,0.5,0.08333333333333327,0.44973544973544977,0.2698412698412698,0,0
1,utility_trust_misalignment,10,Blind,5,-180.0,-1340.0,0.2,0.6,2,0.5,0.08333333333333327,0.48789346246973375,0.2927360774818402,0,0
1,utility_trust_misalignment,1,TTB,4,50.0,50.0,0.5,0.25,0,0.5010553809195009,0.08187658835586259,0.19841269841269837,0.11904761904761901,0,0
1,utility_trust_misalignment,2,TTB,5,-180.0,-130.0,0.4,0.6,1,0.5002140334439233,0.08103080198208693,0.34472049689441,0.20683229813664597,0,0
1,utility_trust_misalignment,3,TTB,4,-180.0,-310.0,0.25,0.0,2,0.4975196766657725,0.08041887996866577,0.4206349206349207,0.25238095238095243,0,0
1,utility_trust_misalignment,4,TTB,5,-180.0,-490.0,0.4,0.6,1,0.49560868082376797,0.07919717113426397,0.4776785714285714,0.28660714285714284,0,0
1,utility_trust_misalignment,5,TTB,5,50.0,-440.0,0.4,0.6,0,0.49461962736903786,0.07814965828104128,0.5154440154440154,0.30926640926640925,0,0
1,utility_trust_misalignment,6,TTB,5,-180.0,-620.0,0.4,0.6,1,0.4923663541554382,0.07739990949308458,0.5476190476190477,0.32857142857142857,0,0
1,utility_trust_misalignment,7,TTB,3,50.0,-570.0,0.3333333333333333,0.3333333333333333,0,0.49359487419271186,0.07683791464818812,0.5603174603174603,0.3361904761904762,0,0
1,utility_trust_misalignment,8,TTB,4,50.0,-520.0,0.75,0.75,0,0.4933531416373908,0.07610492217665427,0.564139941690962,0.3384839650145772,0,0
1,utility_trust_misalignment,9,TTB,5,-180.0,-700.0,0.6,1.0,1,0.49376194278874,0.07573635423862297,0.5846560846560847,0.35079365079365077,0,0
1,utility_trust_misalignment,10,TTB,5,-180.0,-880.0,0.6,0.4,1,0.4936282677140554,0.07539024880615162,0.5920096852300243,0.3552058111380146,0,0
2,utility_trust_misalignment,1,TRUE,4,110.0,110.0,1.0,0.75,0,0.5078509013495592,0.08188209073887753,0.15873015873015883,0.0952380952380953,0,0
2,utility_trust_misalignment,2,TRUE,4,50.0,160.0,0.75,0.75,0,0.5090864174542535,0.08067867011712393,0.23376623376623384,0.1402597402597403,0,0
2,utility_trust_misalignment,3,TRUE,4,110.0,270.0,1.0,0.75,0,0.5131960157936388,0.07980593707483426,0.2912087912087913,0.17472527472527477,0,0
2,utility_trust_misalignment,4,TRUE,5,-180.0,90.0,0.4,0.8,1,0.5087634703831245,0.07940886896735021,0.3571428571428572,0.21428571428571433,0,0
